"cstm_cd","eigyosyo_cd","sales_date"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-22"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-23"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
"02000026","00000002","2023-09-24"
